record_id,frame,ctu_x,ctu_y,merge_flag,candidate_count,merge_idx,usable
0,4,4,1,1,4,0,1
1,4,6,2,1,3,1,1
2,4,8,3,1,5,0,1
3,4,0,4,1,2,0,1
4,5,5,1,1,2,1,1
5,5,7,2,1,2,0,1
6,5,9,3,1,3,0,1
7,5,1,4,1,4,0,1
8,6,6,2,1,2,0,1
9,6,8,3,1,4,1,1
10,6,0,4,1,2,0,1
11,6,2,5,1,2,0,1
12,7,7,2,1,4,0,1
13,7,9,3,1,4,1,1
14,7,1,4,1,3,0,1
15,7,3,5,1,2,1,1
16,8,8,2,1,2,0,1
17,8,0,3,1,5,1,1
18,8,2,4,1,3,0,1
19,8,4,5,1,4,1,1
20,9,9,3,1,2,0,1
21,9,1,4,1,5,1,1
22,9,3,5,1,2,1,1
23,9,5,6,1,4,0,1
24,10,0,3,1,3,0,1
25,10,2,4,1,2,1,1
26,10,4,5,1,2,0,1
27,10,6,6,1,4,0,1
28,11,1,3,1,4,0,1
29,11,3,4,1,2,0,1
30,11,5,5,1,5,1,1
31,11,7,6,1,4,1,1
32,12,2,4,1,2,0,1
33,12,4,5,1,2,1,1
34,12,6,6,1,2,1,1
35,12,8,0,1,2,1,1
36,13,3,4,1,2,1,1
37,13,5,5,1,5,0,1
38,13,7,6,1,5,1,1
39,13,9,0,1,2,1,1
40,14,4,4,1,2,0,1
41,14,6,5,1,3,1,1
42,14,8,6,1,2,1,1
43,14,0,0,1,3,0,1
44,15,5,5,1,2,0,1
45,15,7,6,1,2,0,1
46,15,9,0,1,2,1,1
47,15,1,1,1,2,1,1
48,16,6,5,1,2,0,1
49,16,8,6,1,4,1,1
50,16,0,0,1,5,1,1
51,16,2,1,1,2,0,1
52,17,7,5,1,2,0,1
53,17,9,6,1,2,0,1
54,17,1,0,1,4,0,1
55,17,3,1,1,3,1,1
56,18,8,6,1,2,0,1
57,18,0,0,1,3,1,1
58,18,2,1,1,2,1,1
59,18,4,2,1,4,0,1
60,19,9,6,1,4,0,1
61,19,1,0,1,2,0,1
62,19,3,1,1,2,1,1
63,19,5,2,1,2,0,1
64,20,0,6,1,3,0,1
65,20,2,0,1,2,1,1
66,20,4,1,1,4,1,1
67,20,6,2,1,5,0,1
68,21,1,0,1,5,0,1
69,21,3,1,1,4,0,1
70,21,5,2,1,2,0,1
71,21,7,3,1,3,1,1
72,22,2,0,1,2,0,1
73,22,4,1,1,2,1,1
74,22,6,2,1,4,1,1
75,22,8,3,1,2,0,1
76,23,3,0,1,4,0,1
77,23,5,1,1,4,0,1
78,23,7,2,1,2,1,1
79,23,9,3,1,2,1,1
80,24,4,1,1,5,0,1
81,24,6,2,1,4,1,1
82,24,8,3,1,3,0,1
83,24,0,4,1,4,1,1
84,25,5,1,1,2,1,1
85,25,7,2,1,4,1,1
86,25,9,3,1,3,1,1
87,25,1,4,1,2,1,1
88,26,6,1,1,4,0,1
89,26,8,2,1,2,1,1
90,26,0,3,1,5,1,1
91,26,2,4,1,5,0,1
92,27,7,2,1,3,1,1
93,27,9,3,1,2,1,1
94,27,1,4,1,3,0,1
95,27,3,5,1,5,1,1
96,28,8,2,1,2,0,1
97,28,0,3,1,3,1,1
98,28,2,4,1,5,1,1
99,28,4,5,1,2,0,1
100,29,9,2,1,4,0,1
101,29,1,3,1,2,1,1
102,29,3,4,1,2,0,1
103,29,5,5,1,2,1,1
104,30,0,3,1,3,0,1
105,30,2,4,1,3,1,1
106,30,4,5,1,2,1,1
107,30,6,6,1,5,1,1
108,31,1,3,1,2,0,1
109,31,3,4,1,4,0,1
110,31,5,5,1,4,1,1
111,31,7,6,1,2,0,1
112,32,2,3,1,5,0,1
113,32,4,4,1,3,1,1
114,32,6,5,1,3,1,1
115,32,8,6,1,2,0,1
116,33,3,4,1,3,0,1
117,33,5,5,1,2,1,1
118,33,7,6,1,2,1,1
119,33,9,0,1,4,1,1
120,34,4,4,1,5,0,1
121,34,6,5,1,4,1,1
122,34,8,6,1,4,1,1
123,34,0,0,1,2,0,1
124,35,5,4,1,2,0,1
125,35,7,5,1,4,1,1
126,35,9,6,1,3,0,1
127,35,1,0,1,5,1,1
128,36,6,5,1,2,0,1
129,36,8,6,1,2,1,1
130,36,0,0,1,3,0,1
131,36,2,1,1,2,1,1
132,37,7,5,1,3,1,1
133,37,9,6,1,5,1,1
134,37,1,0,1,3,1,1
135,37,3,1,1,2,1,1
136,38,8,5,1,2,0,1
137,38,0,6,1,5,1,1
138,38,2,0,1,2,1,1
